,YEARMODA,TEMP,MAX,MIN,DIFF,TempCelsius,TempKelvins
0,20160601,65.5,73.6,54.7,18.89999999999999,18.61111111111111,291.76111111111106
1,20160602,65.8,80.8,55.0,25.799999999999997,18.77777777777778,291.92777777777775
2,20160603,68.4,,55.6,,20.222222222222225,293.3722222222222
3,20160604,57.5,70.9,47.3,23.60000000000001,14.166666666666668,287.31666666666666
4,20160605,51.4,58.3,43.2,15.099999999999994,10.777777777777777,283.92777777777775
5,20160606,52.2,59.7,42.8,16.900000000000006,11.222222222222225,284.3722222222222
6,20160607,56.9,65.1,45.9,19.199999999999996,13.833333333333334,286.9833333333333
7,20160608,54.2,,47.5,,12.333333333333336,285.4833333333333
8,20160609,49.4,54.1,45.7,8.399999999999999,9.666666666666666,282.81666666666666
9,20160610,49.5,55.9,43.0,12.899999999999999,9.722222222222223,282.8722222222222
10,20160611,54.0,62.1,41.7,20.4,12.222222222222223,285.3722222222222
11,20160612,55.4,64.2,46.0,18.200000000000003,13.0,286.15
12,20160613,58.3,68.2,47.3,20.900000000000006,14.61111111111111,287.76111111111106
13,20160614,59.7,67.8,47.8,20.0,15.388888888888891,288.5388888888889
14,20160615,63.4,70.3,49.3,21.0,17.444444444444443,290.59444444444443
15,20160616,57.8,67.5,55.6,11.899999999999999,14.333333333333332,287.4833333333333
16,20160617,60.4,70.7,55.9,14.800000000000004,15.777777777777779,288.92777777777775
17,20160618,57.3,,54.0,,14.055555555555555,287.2055555555555
18,20160619,56.3,59.2,54.1,5.100000000000001,13.499999999999998,286.65
19,20160620,59.3,69.1,52.2,16.89999999999999,15.166666666666666,288.31666666666666
20,20160621,62.6,71.4,50.4,21.000000000000007,17.0,290.15
21,20160622,61.7,70.2,55.4,14.800000000000004,16.500000000000004,289.65
22,20160623,60.9,67.1,54.9,12.199999999999996,16.055555555555557,289.2055555555555
23,20160624,61.1,68.9,56.7,12.200000000000003,16.166666666666668,289.31666666666666
24,20160625,65.7,75.4,57.9,17.500000000000007,18.722222222222225,291.8722222222222
25,20160626,69.6,77.7,60.3,17.400000000000006,20.888888888888886,294.0388888888889
26,20160627,60.7,70.0,,,15.944444444444446,289.09444444444443
27,20160628,65.4,73.0,55.8,17.200000000000003,18.55555555555556,291.7055555555555
28,20160629,65.8,73.2,,,18.77777777777778,291.92777777777775
29,20160630,65.7,72.7,59.2,13.5,18.722222222222225,291.8722222222222
